Score,Date,Content
5,2023-11-10 07:11:05,"this game was perfectly fine until the most recent update and now i can't battle in gyms or play with my buddy because the game freezes and it is pissing me off bc i have multiple quests requiring this that i can no longer complete. if the bugs get fixed, my review would be 5 stars EDIT: bug was fixed, 5 stars. gotta catch em all"
5,2023-11-10 07:01:05,It's great it's probably the best game I've ever played
1,2023-11-10 06:59:05,Raising prices while offering not 1 single improvement to the game. If anything the game is worse then it was a year ago.
5,2023-11-10 06:34:23,this is best game of word my favourite game 🎮
5,2023-11-10 06:30:57,Good VR Pokémon game that encourages to be physically active.
3,2023-11-10 06:19:27,This game is so dumb i can't even play it it just shows me sign in your name and password 😠😤😓 and if this doesn't change I'm gonna have to give you a zero 🌟
5,2023-11-10 05:55:22,AWESOME 👌
5,2023-11-10 05:22:12,Very good game
5,2023-11-10 05:22:11,Go
2,2023-11-10 05:10:05,"ISSUE: I have some issues clicking special moves. Sometimes I can't tap the special moves nor use the shield. It's not working. Furthermore, it gets bad enough that I couldn't click anything useful in the screen anymore PLEASE FIX THIS"
2,2023-11-10 05:08:48,Someplayers are using some kind of hack or glitch in game which is making them win in PvP battles and every time we use any kind of charge attack it doesn't make any damages even if they don't use the shield or they had not left any
2,2023-11-10 05:07:07,"I have been playing this game since its release. I reviewed this app in 2020. My rating for this game has not changed. Here it is 2023 and the game freezes, loosing items in Raids that I pay for. GPS not found 75% of the time and as of yesterday can't log in at all. How are you supposed to complete ""timed research"" without being able to play. Think it's about time to delete it. I have had enough."
2,2023-11-10 04:46:06,The game is very wonderful But I think report playback 1 account number is your phone
5,2023-11-10 03:44:10,I LOVE POKEMON!!
5,2023-11-10 03:32:58,The best just behind minecraft
2,2023-11-10 02:35:15,"Xanax c xf, fr"
4,2023-11-10 02:34:53,I want to give this 5 stars because it's legitimately my favourite game but disappointingly since the last update gameplay and battles are either glitchy or just don't work. I hope this gets fixed soon.
1,2023-11-10 02:30:24,Google authentication error is so annoying
5,2023-11-10 02:30:07,Awesome 😎😎😎
5,2023-11-10 02:20:13,Good luck to get this app .
5,2023-11-10 02:10:09,Gr8 bazii
4,2023-11-10 02:01:16,Badiya h
5,2023-11-10 01:24:26,I love it ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
5,2023-11-10 01:12:17,Nice
1,2023-11-10 00:54:40,"I can't login with Facebook,Why is it so?? Please reply..."
5,2023-11-10 00:51:03,There are many Pokemons in the game. I catch 155 Pokemons in this game and 90 legendary Pokemons This is the best game which I played.
1,2023-11-10 00:33:15,This game is very very noob in internet connection because of the problem I lose my battle I am very angry because of that one point of battle I can won the legendary Pokemon**😡😡
5,2023-11-10 00:16:44,Absolutely phenomenal
1,2023-11-09 23:45:01,"Devs definitely don't care about the game. Events are all cash grabs and the ""free content"" like the ability to get galarin birds is overly difficult so you have to keep playing. If you enjoy pokemon, I'd pass on this game so it doesn't ruin it for you."
5,2023-11-09 23:43:55,"#1 PKMN GAME EVER FOR AN APP.....IT JUST CANNOT &WILL NOT EVER POSSIBLY BE BEATEN AS A BETTER PLAYING GAME(APP..) OVER ALL YOURSELVES PKMN™©®™ COMPANY,. THAT'S HOW HARD ITS GONNA BE TOO BEAT A NEW BETTER PLAYING PKMN GAME FOR AN APP WISH LUCK 2ALL WHO TRY LMK IF SO LMFAO....BUT THIS PKMN-GO APP|GAME OVERALL IS THEE' SHIZZZNET...I SAY 2ALL YA MUST& GOTTA DOWNLOAD AND PLAY THIS((OUTSIDE-ADVERTURE-40Lbs LOST 3 WEEKS YA GOTTA AND WILL PLAYING THIS GAME NO BS JUST GET:)"
5,2023-11-09 23:14:03,This game is no 1 game of Pokemon and its all time favorait game of me
1,2023-11-09 21:37:50,Once again I cannot play on WiFi but I can play on mobile. For a company that is worth billions you really put out a bad product.
4,2023-11-09 21:11:51,One word : Amazing
5,2023-11-09 20:56:29,"After 2 years, and returning to the game, I am really impressed at the changes that they have made. My only problem is the pokecoins being way too expensive. Other than that though, it is a great game and I definitely recommend it to everyone."
2,2023-11-09 20:27:01,"please for the love of god stop crashing i am begging you I swear I would love to play this game if only you would let me 😭 I've done everything. updated, cleared cache, unistalled/reinstalled, rebooted my phone, all just to have it kick me out in the middle of gifts or Pokémon inventory again. why do I even try so hard anymore?"
1,2023-11-09 20:02:29,Pokemon go kicked me out and now i cant play is because i do not remember my info.
1,2023-11-09 19:41:56,Loved loved loved the game... But then I couldn't login anymore. I guess using Google as your login makes it so they can't help you with login issues... So beware. Tried sending multiple emails for help but I guess the don't have the time or can't help because of my Google mistake. Just not going to spend one year trying to get everything I've caught back by starting another account. Make sure if you play you don't use Google in.
2,2023-11-09 19:38:01,Game is unplayable now due to basically no storage. No way for rural players to increase without spending over $200. Game is nothing more than a whale milking machine. Also the daily adventure incense has never worked.
5,2023-11-09 19:29:27,Apps is down in s9me Android and Apple devices for 4 hours showing can authenticate this account but it's link to my Google and my other account link to my Apple same problem my kid account same thing
5,2023-11-09 19:12:49,I have been playing this game for a while and I am starting to love it
4,2023-11-09 19:07:33,"I love this app have had it since day 1 of release on 2016 but the app freezes saying it's location error. And now today it's a new thing, email has failed authentication and won't let me sign on. Not sure if it's just me or others are having this issue as well. Please fix this error."
2,2023-11-09 18:48:41,Fix the bloody lag!
5,2023-11-09 18:06:26,Hello new players this is osama
1,2023-11-09 18:02:23,I can't play in a school
1,2023-11-09 17:51:52,I've saved the £5 free coupon for the Google pass but doesn't give me anyway to use it!
5,2023-11-09 17:48:10,Amazing game hope it turns out good for everyone
5,2023-11-09 17:22:53,The best pokemon game yet
2,2023-11-09 17:20:24,Becoming more and more pay to win and they only program for the whales/obsessive players.
1,2023-11-09 17:12:36,Now one star because using wifi I cannot log in to the game at all.
5,2023-11-09 17:08:58,"Love this game. But will not let me purchase new balls. I have$ 2.38 in my account. I hit to bye 20 balls at .99 and it says In significant amount in my account.what,s going on. It's only your game. Not my other games I play.Can you you fix this please Thank you.Jimbo."
1,2023-11-09 17:08:48,"My girlfriend was banned for 'using a modified device.' she's only ever used her cellphone and never spoofed or cheated. She has invested so much time and MONEY into the game as a devoted pokemon lover, and they took it all away over something she didn't do. Support is absolute garbage. They don't care what you have to say. DONT PLAY OR WASTE TIME AND MONEY. You get banned even following the rules."
2,2023-11-09 16:51:07,Ever since the new update it's been crashing like crazy. I don't wanna uninstall it but I've had so many issues that I might have to. I wish the battles were more like the old Gameboy/DS games. All you do is tap tap tap tap tap and hope for the best. Where's the strategy in that!?
5,2023-11-09 16:35:18,Best for people with Data
1,2023-11-09 16:18:13,"The game isn't fun when you PAY for a remote raid pass, win, make multiple excellent curveball throws with golden razz, and still don't catch the raid boss. Total BS."
1,2023-11-09 15:35:54,to much money
5,2023-11-09 14:52:40,"Consistently provides stimulating content for continued gameplay. In-app purchases reflect significant discounts and opportunities to upgrade, however, free gameplay is also possible."
5,2023-11-09 14:35:04,Just play the game since it's came out
5,2023-11-09 14:19:51,"Major W most majestic, nostalgic, amazing. It's easily the best mobile game ever. Masterpiece. 🙏 🙏 🙏"
1,2023-11-09 13:45:52,I'd lost all my items and progress in this game and they simple ignore my messages. Not to mention the money I invested. Good game! ZERO support.
5,2023-11-09 13:45:22,Adventure Time
3,2023-11-09 13:31:49,"Would give 5 stars. I have been playing Pokémon since Gen 1 and it is nothing like the OG games. Poke Centers don't heal your Pokémon, no Gym Leader's, rural area's to explore and secrets. Have played for over 2 year's now and truthfully there's been no excitement or fun like playing on the Gameboy versions."
5,2023-11-09 12:25:15,Op 😈😈😈😈🥵🥶
5,2023-11-09 11:37:49,This game is amazing
5,2023-11-09 11:36:08,It gets me outside and it's rewarding to see how many miles I walked! The Pokemon are all really cute and there's lots of stuff you can do in this game
5,2023-11-09 11:18:09,This game is awesome
1,2023-11-09 10:50:26,fun game but could you please do something about the remote players in this games there are to many and it need to be addressed makes me want to stop playing the game because it sucks the fun out of the game and you guys say you don't allow that but you haven't done a thing about it.
1,2023-11-09 09:58:29,Horrible support. My account was hacked and ended up getting banned. Support refuses to help you. Even being a paying customer on buying coins. They have lost a paying customer!!!
1,2023-11-09 09:56:11,The devs won't ban hackers who ruin your time in pokemon Go. There is this hacker who takes gyms in minutes after you take a gym and this hacker always wins in showcases. The hacker once got 4th with a growlithe but then magically got 1st💀 Niantic does nothing to stop these hackers but they will suspended your account if you made a guud pokestop.
1,2023-11-09 09:47:59,It does not work in india I won't to add it from gogal but I cant
5,2023-11-09 09:33:37,Very
5,2023-11-09 09:28:29,Op game
5,2023-11-09 09:16:59,best game ever.... 😁
5,2023-11-09 08:53:31,Great game
3,2023-11-09 08:47:05,Poke stop requested thanks and done and location is not accurate do something and some temple not became Gym
1,2023-11-09 08:35:12,I can not sign in!?!? I keep getting an error message for an account I have had for 5 years.
2,2023-11-09 08:33:00,Go Plus+ is not working in the background. App needs to be actively on and being used in order for Go Plus+ to work.
5,2023-11-09 08:30:49,Khn virgin to
5,2023-11-09 08:18:03,Ultimate game but give alternative legendary raids and community day
1,2023-11-09 08:16:10,"Recently Niantec started sending me advertisement emails despite not having logged in in years ""because I requested them"". Scummy behaviour gets you a one star review."
1,2023-11-09 07:49:26,keeps cutting out as soon as loads
3,2023-11-09 07:47:31,A fun and addicting game that's flawed by how it's developers handle events and it's focus on monetisation over customers.
1,2023-11-09 07:29:53,It feels like your just playing outside games where made to intertian you indoors not outdoors
5,2023-11-09 07:21:50,Can to make a game where you can kill people with rocks?
1,2023-11-09 07:10:37,Worst
5,2023-11-09 07:08:29,Pokemon Go is very nice game in india 🇮🇳
1,2023-11-09 06:56:59,"Been crqshing continuosulu and does not allow me to,changw accounts"
4,2023-11-09 06:43:29,"Fun, but sometimes laggy."
4,2023-11-09 06:31:59,"Fun, simple and nostalgic. Free extended gameplay at your own pace, although weekly event tasks are numerous and can be quite hard to finish."
5,2023-11-09 06:24:11,Very nice game
2,2023-11-09 06:16:52,I can't get into the game. It's saying that there is an authenticating issue.
5,2023-11-09 06:06:48,Bring pokemon to real life at this point its my life
1,2023-11-09 04:55:21,Very bad
2,2023-11-09 04:33:07,"Concept: 5*; Newly added ideas in updates: 5*; Execution: 3*; PvP system is utterly broken, random freezes which results in a loss: 1*;"
1,2023-11-09 03:53:45,Bad game not opening the game
3,2023-11-09 03:50:02,Good
4,2023-11-09 03:14:53,It's really fun and it's better if you play with friends
5,2023-11-09 03:10:59,Im having trouble registering my genesect on pokemon go
5,2023-11-09 03:00:20,Like this so much
3,2023-11-09 02:54:15,"Go battle League is the biggest joke in the history of Pokemon, entirely luck and wifi connection based"
5,2023-11-09 02:33:39,Best game everrrrrrrrr
5,2023-11-09 02:01:53,Verry good game to loose weight
5,2023-11-09 01:00:44,It hard to beat players
1,2023-11-09 00:50:35,"Slow and laggy, perpetually crashing on mobile. Was fine to use up until I moved overseas since then it has been a laggy mess."
5,2023-11-09 00:30:59,#1 App wooo
1,2023-11-09 00:07:50,"Bought some raid passes, didn't get anything for my money. Nice scam 👍"
2,2023-11-08 23:56:18,"Unable to see what pokemon the team rocket people have until you fight them, and the game recommends pokemon that are severely weak against them???"
3,2023-11-08 23:23:30,Great game but have a few bugs in it that needs fixed I would love this game more if it was fixed and I spent a lot of money on this game so please fix it.
5,2023-11-08 22:58:32,Mind blowing 😀😀😀
1,2023-11-08 22:46:13,Dont bother installing. 12/14 excellent throws and raid pokemon still runs away.
5,2023-11-08 22:42:07,Good game
1,2023-11-08 22:23:53,This game is very worst game in the world because we can play limited battle
5,2023-11-08 21:48:49,Op
5,2023-11-08 21:35:40,"Awesome game, I've been playing since day 1"
3,2023-11-08 20:11:06,Why can't I evev see a shinny Pokemon after I caught same in 2k??? Tell me please!
5,2023-11-08 19:41:57,Best game since magic the gathering
4,2023-11-08 19:32:03,"This type of vest game I have never played But their is a problem, we can't move in this game Please add joystick in Pokemon go 🙏🏻"
1,2023-11-08 19:28:06,"I recently got a new phone and can't catch a pokemon with out the ""AR+"" pop up keep on popping up every time I click on a pokemon. I've turned the settings off in the game and still get the same pop up,with sometimes the ""AR+"" setting turning its self on again by its self some how? I've tried turning off camera permissions to the app trying to get that to work but can't seem to. After looking online this a years long issue with no solution for the app. I'm not sure what solution there is for me."
1,2023-11-08 19:18:36,Crashes often for such an old game. Will revise if the daily incense can be fixed.
1,2023-11-08 18:55:04,"Every time I try to buy PokeCoins in the shop a pop up shows up saying ""ask a parent"". I don't know why it keeps showing up even though I'm not underage. This issue doesn't occur when I try to make in-app purchases in other apps, it only happens in this game. Its getting seriously annoying since I can't buy raid passes to play during raid hours and I'm missing out on several events."
4,2023-11-08 18:54:20,This game is very fun you get to do battles and catch pokemon. One problem is that the game has a lot of lag but it's still fun.
4,2023-11-08 18:41:00,Working better now. Still some glitches but game is still only 10% complete. Excited for new additions!
2,2023-11-08 18:22:54,"I know, you have been alerted us the surroundings. But still we face some problems day by day. Even I got with some accident. Physically this game is good. But also we have to look over the phone again and again to catch a pokemon. So please make some changes. And bring joystick system."
5,2023-11-08 18:01:21,Best phone game ever !!!
5,2023-11-08 17:59:13,Best it gets me to move an intract with people thank you for making this game
3,2023-11-08 17:40:57,"It's a amazing game, but it could be better if there were offline features. Like when you have no internet you can still catch Pokemon, spin poké stops, fight the grunts, leaders, even the boss. But you can't trade or praticeipat in raids since you would need internet for that. And please make so you can undo tarsfers I want my magmar back And that's all keep up the good work it's a great game 👍"
2,2023-11-08 17:40:57,"Every event, every season, every new feature is lag lag lag. Over 7 years and billions in revenue, we get lag"
5,2023-11-08 17:27:54,"After following my granddaughter around during Pokemon go events, I decided I would try and play Pokemon go. I absolutely LOVE it! It's also something that we can do together outdoors that we both like. A big THANK YOU to the makers of Pokemon go!! 👍👍👍👍 I highly recommend. Pokemon GO to anyone, and any age! 😃"
4,2023-11-08 17:20:22,"Fun game just wish there was an easier way to get PokeCoins so I could battle with remote passes. I find it annoying that they are prices so high. Even if they were 35, I would accept that."
4,2023-11-08 17:01:03,I can even catch a Pokemon
5,2023-11-08 16:49:34,The best thing in the world
1,2023-11-08 15:30:23,Can't even catch a pokemon because of white screen. Tried reinstalling. Nothing works.
4,2023-11-08 15:28:33,Need leveling up little faster
5,2023-11-08 14:20:04,Ajoyabor
3,2023-11-08 14:16:52,I love it! Because I can go out fight gyms I catch them all but only thing that would make it better is if we get more than 50 coins if are pokemon is in a gym for a long time and if It didnt need internet also takes up too much space.
1,2023-11-08 13:42:21,My Pokemon go id got banned without doing any spoofing.
5,2023-11-08 13:32:44,Games good
1,2023-11-08 13:27:35,Push notifications for the Go Plus stop working. I reinstalled the app and it still doesn't work. The settings is set to on.
2,2023-11-08 13:10:19,"it's a fun game,but the new party play function does not work so well for me because I am on level 30 and it doesn't give me the option to party play"
1,2023-11-08 13:03:57,Can't even play because it won't load. Keeps freezing & crashing. Nice update
1,2023-11-08 13:02:23,"One Star for full Google account access, meaning with this they can use your account to go shopping in your name, change access settings, access all your data and more. This is a high security threat and should not be a condition to play the game, which itself seems to be nice. Uninstalled, will never ever install a Pokémon app again!"
1,2023-11-08 12:16:00,I paid for stuff and I'm not getting it like eggs Insense to attract pokemon I paid about 4 times
1,2023-11-08 12:10:02,"If you're looking to collect pokemon exclusively, it's entertaining. If you're looking to actually put those mon to the test in the Go Battle League, then it's a joke. Exploits in the game allow players to have bag loads of ""premium"" battle passes. Which, when used, is believed to be advantageous with the ""algorithm"" in which players are paired up. If you're a non pay-to-win player, then expect GBL to be unforgiving with hard counters to your team majority of the time."
1,2023-11-08 12:01:20,"Game does not play on a Samsung Fold. Can't change outfits, send gifts, utilize most menus..........."
1,2023-11-08 11:37:27,pokémon encounters = white screen
5,2023-11-08 11:10:20,Ipokedeehoez86 thanks and appreciates your game! You saved me .
2,2023-11-08 11:00:18,My game crashed in the middle of a battle and now it gets stuck on stupid when I try to go back into the battle section.
4,2023-11-08 10:49:00,"It's alright, but I wish we could get more pokèpoints depending on how long we are in the gym. Also, another suggestion is if we walk 2 km to get one candy, walk 4 km to get two candies, etc. For all the Pokémon. Just make it a little easier for the people, just change those few things, and it would be perfect!"
4,2023-11-08 10:33:50,Another masterpiece
5,2023-11-08 10:33:50,It's a relaxing game where u can explore more into the world while playing it
1,2023-11-08 10:28:02,What a bad game
1,2023-11-08 10:24:26,"Anyone who has played this game will understand this. Golden Razz, Ultra Ball, Exellent, Curveball, First Throw. Break Out! 6 balls later you catch it. 0 star. Just like I would give this game if the option existed."
5,2023-11-08 10:04:45,Super game🥰🥰🥰🥰🥰🥰
2,2023-11-08 09:47:06,The game doesn't send push notifications even with them all turned on needs to be updated
4,2023-11-08 09:45:15,"You know, you should not keep limit for GO battles, just put condition that first 25 matches will count in ranking, after that, it's pure enjoyment, other wise after hitting limit, there is not much to do, atleast for me"
3,2023-11-08 09:36:30,there is unfair team dominance in my area 😑
2,2023-11-08 09:08:31,Just installed the new update and the game still crashes. I don't even make it to the loading screen.
3,2023-11-08 08:26:13,How to login?
5,2023-11-08 07:59:26,Is very good game and very fun and adventure and I am injoy this game I love this game ♥️🥰😁
3,2023-11-08 07:54:11,"normal gameplay is good, but the pvp is a little scuffed."
5,2023-11-08 07:27:58,This game is wonderful and extraordinary
1,2023-11-08 06:32:31,Worst game possible in my area where I live there is no Poke stop or a gym and I can't level up that fast not recommended by my experience worst game in play store must get banned in all countries
1,2023-11-08 06:29:27,It is good game but I can not It on android version 7 please lesser the android version requirement to 7 and 7+
2,2023-11-08 06:16:33,Routes and parties are a big issue. Not everyone can find routes in their area or even a party to join. I guess my Pokémon days are over.
1,2023-11-08 05:56:10,Actually download this app madam very excited to play this game but this app I really don't know how to play because then no option to walk and go so I really confused that's why I deleted the game
1,2023-11-08 05:25:48,Zygard cell.
5,2023-11-08 05:16:40,Pokemongo
3,2023-11-08 05:01:13,Push notifications just stop working
1,2023-11-08 04:52:22,"Gets jankier with every update, lock ups and drops. The game is losing the aspects that I found enjoyable. The COVID rules made the game more interesting for me as a rural player. Now, the game is just not as fun with the return to preCOVID game play. Reducing the area around stops to spin them sucks. The massive increase in Remote Raid passes is detrimental to rural players. Raid parties are wildly uncommon where I live. Niantic are not receptive at all in helping players with account issues."
1,2023-11-08 04:50:33,"It is a good game but there is a problem that there no joystick on off option, I play in PC then how can walk please make sure that should be a joystick on,off option in settings please solve"
5,2023-11-08 04:43:01,Besssttttt everrrrrrrrrrgame
