Score,Date,Content
5,2023-10-12 22:57:30,"This game is sooooooocyyyuuuteee i never usually write reviews, but i love how you can go under the water and look around in 3D on camera mode, and you can zoom waaaaay in and look at the little details. I LOVE it. Thank you for making this game to the creators, and the animals are soooooo cute omg!!! Ahhhhh"
5,2023-10-12 21:42:06,It's cute ehe
5,2023-10-12 21:15:42,Yay penguins for life!!!
1,2023-10-12 19:53:35,"Good game, but it didn't take me that long, before I got to a point, where progressing was very slow. I would be able to play 5 minutes, and then have nothing to do, just wait a long time before I can afford anything. And I don't wanna watch Ads."
5,2023-10-12 19:00:31,Realy good game to past the time not two hard to understand a fun try it out before u just skip past 🙂
5,2023-10-12 10:59:46,What could be more relaxing than penguins walking around randomly and performing chores? They even wear clothes accordingly!
5,2023-10-12 09:35:33,I LOVE the game! It's super casual and nice! I love the penguins! Add more content too! Great work! 🐧
5,2023-10-12 05:58:37,Nice game
5,2023-10-12 04:52:38,Excellent
4,2023-10-12 01:01:58,I love this game but I have two issues 1 you just only get a box at the beginning of the game 2 you get a a tapping finger that points at nothing when you unlock the hot springs but overall food game! :)
5,2023-10-12 00:21:04,Cool 😎
5,2023-10-11 18:11:15,I love this game because it has painguins in it
5,2023-10-11 14:55:51,amazing love it
1,2023-10-11 14:11:54,I downloaded this game back after some time but lose all my progress. I log in using the same google play account but the game made me start over. I contact their facebook page asking for help but they left me on delivered for 3 days. Great customer service i guess
5,2023-10-11 13:27:20,Really fun most ads are optional really great 🌸
4,2023-10-11 12:04:04,Its good
5,2023-10-11 12:02:10,Exceptional calming game recommended in these days
5,2023-10-11 09:12:14,THE ALL TIME BEST GAME!!
5,2023-10-11 08:32:32,Penguin
5,2023-10-11 06:05:13,Great game!
2,2023-10-11 01:00:31,It's sooooo freking hard to get money
5,2023-10-10 22:57:34,This game is relax. I love it💕:>>
5,2023-10-10 21:19:48,🐧❤️
5,2023-10-10 20:29:44,I love this game its very relaking
5,2023-10-10 20:22:18,I rilly like the game
5,2023-10-10 16:30:08,If you like animals you will love this game top tier game
5,2023-10-10 13:33:34,There is no better app more relaxing app I don't even think this is meant to be a relaxing app but it's the best out of the best super relaxing and it's not really easy and really hard at the same time and you can relax if something happens or you have a bad day be sure to install this app and the best part is there is no ads! I know right? It's crazy but we love to see it!
4,2023-10-10 12:10:20,Cute
5,2023-10-10 11:40:58,penguin
1,2023-10-10 10:12:52,Time wasting worst game
1,2023-10-10 09:22:12,为什么我连不上之前的云端，难道我还要重新玩吗，请你们帮我找回之前的云端号
5,2023-10-10 07:06:11,soper cool game ever edit: Wow it's been 3 years hehhehe still remember when i couldn't even spell.Now im back to my memories and developers i thank you for being part of my best moments in life thank you and keep going :)...
5,2023-10-10 06:32:38,The stress just melts away
5,2023-10-10 01:07:09,Burds
5,2023-10-09 23:55:28,Bagus banget Gamenya seru ada pinguin lagi
5,2023-10-09 22:37:34,PENGUIN!!!!!!!!
5,2023-10-09 21:04:02,Relaxing and peaceful
5,2023-10-09 18:51:15,Sooooooooo gooodd😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆
4,2023-10-09 16:26:09,fun but it would be better if you added a gold baby
5,2023-10-09 14:23:30,Excellent.
5,2023-10-09 13:47:46,its the best game of all penguin games
4,2023-10-09 13:14:31,Pretty good
5,2023-10-09 12:40:41,"This game is my favorite game. Penguins are my absolute favorite. This game is so funny and cute. The interactions between the pengs and some of the decor is HYSTERICAL and unexpected. I loved the recent anniversary event. It felt like the old days of Peng Isle before it became just 1(2 if u pay) new peng a month. Devs: please don't give up on the Pengs. We need them. Abyss Pole went under, advertise this game to their players!! Adv. this game as relaxing and stress relief! Let's help the pengs!"
4,2023-10-09 08:59:42,"This is my second time downloading this game, it's very relaxing. I love watching the little penguins play. I used to have an account, that couldn't be recovered but that's okay. I only missed that I had special event penguins then I no longer have. The music is very soothing as well."
5,2023-10-09 08:20:03,Loved
5,2023-10-08 16:31:00,So cute!
4,2023-10-08 08:16:54,Not bad
1,2023-10-07 14:56:17,PAYWALL
5,2023-10-07 12:37:41,Lost my progress it won't load the old one
5,2023-10-07 12:24:55,This game is to realistic and if you can do upgrade to the penguin you can get a lot of money and its so cool😍😍😍😍😍
4,2023-10-07 05:36:26,Great game
5,2023-10-07 01:34:37,Great game🤗
5,2023-10-06 23:09:11,This game was Beautiful it brought tears to my eyes I couldn't Fathom how beautiful it was it was nostalgically cute I can't express how I love it
2,2023-10-06 20:31:41,"After the documentary site is unlocked, quests are always the time-consuming ones, such as ""open certain number of boxes"", ""finishing Photo Missions certain times"" or ""find treasure ships certain times"", and missions that can be quickly accomplished, such as ""open two treasure chests"" or ""use two time tokens"" becomes rare. Game has become more boring and less interesting since this point."
5,2023-10-06 17:27:18,It was very good en wen i delete the game it sat is for 123 en dat made me cry😭😊 i mis my pinguin
4,2023-10-05 09:00:31,"I love this game but I recently switched to a new phone, how do I get the save files to come over here?"
1,2023-10-04 12:45:08,"Why are quests locked behind either a pay wall or ads? I can't complete the treasure ship summoning quest without to pay / watch ads, this is unfriendly player design."
5,2023-10-04 07:09:04,"I love this game so much. Hello! I want to say that penguin isle is a really fun game to play, it's really relaxing and fun! The outfits are so cute and creative. I love how the penguins brings flowers from the garden! I remember playing this as a kid before but then I stopped playing and forgot the name of this game. I was sad I looked for it a lot of times and I finally found the name of this game. quickly downloaded it again! I will play this game every single day, it's my favorite :)"
5,2023-10-03 16:24:30,GUd game
1,2023-10-03 08:24:03,👎
5,2023-10-02 22:20:27,Cool penguin game 5 stars cus it has seals
5,2023-10-02 21:39:17,"A very nice game. I would enjoy a few more instructions sometimes, it's confusing what to click on and if it will cost me items. Other than that by comparison a very interesting and low-stress game."
1,2023-10-02 17:51:03,"This game suck in cloud saving, i just lost my entire save, unable to load previous data. Really sucks."
5,2023-10-01 07:09:02,Very cute the music is relaxing.
1,2023-09-30 11:59:13,This game takes away my progress everytime I get on to play. How do you have such a big problem like this????
4,2023-09-28 23:27:41,"Its cool but can you please add save to google play games, so I can save progress of game. Because Im not sure if I saved it or not. Also when leveling up and evolving from antarctic base to newer habitats, the time tokens, heart tokens, treasure ships, giftboxes and wooden boxes never updates. Only fishing spot to hot spring can updates these."
5,2023-09-28 08:48:43,Fun game
5,2023-09-27 20:30:15,"Very relaxing and heartwarming,it makes me happy everytime i play it when im sad"
5,2023-09-27 00:05:26,Hi please let me know how I can sign back in with my old Facebook account abbarrane Roby because I've lost my phone
4,2023-09-26 14:47:49,The Game Looks Perfect! 😎👍🏾🔥
5,2023-09-26 05:35:47,I absolutely love it it's very relaxing and I love the cute penguins
5,2023-09-25 21:29:54,I love this game because I love the 🐧 😃😃😃😃😃😃😃😃
5,2023-09-25 08:20:08,"This game is very calm, it makes my stress and other things almost completely going away"
5,2023-09-23 22:22:57,"Great game, very chill definitely recommend"
5,2023-09-21 09:48:16,It's absolutely peaceful and amazing!!!
5,2023-09-21 09:29:45,The game is really cute because I love penguins
5,2023-09-20 14:36:14,Good game
4,2023-09-20 02:04:57,Why can't I have sync with other devices with my same account?
5,2023-09-19 22:04:02,Fun game and very relaxing ☺️
5,2023-09-19 19:53:31,Amazing
5,2023-09-19 18:04:06,🥹💙🖤
1,2023-09-19 17:45:56,Clicker game. Booring.
2,2023-09-17 23:15:11,Game is not opening now. Fix it asap
5,2023-09-17 16:20:49,So cute and relaxing 😌
5,2023-09-17 00:31:34,Great timekeeper. Love the diferent penguins you can get. Gets slow every now and then but still a great get
5,2023-09-16 23:49:04,Pretty good that's all
5,2023-09-16 18:02:50,I love this relaxing game about penguins! 🐧 Although I do have one complain: Ads to collect rewards...maybe like a daily 5 green tickets to skip ads?
5,2023-09-15 23:28:06,My fav broooooo.....
2,2023-09-15 07:52:37,The first couple of years thgis game was great fun to play. Sadly the creators have either run out of ideas or server space as nothing of real note is added to the game any more with the same dull features re-hashed every 6 weeks or so. To compund the issues they have issues with glitched adverts that make game progression nigh on impossible and when you put in reports in the hope of getting things fixed they just send you one line e-mails and fix nothing. Would have been 5 stars 2 years ago
1,2023-09-15 03:33:28,"The latest update has a glitch... treasure chest, gems and time away rewards no longer connect to an advert. Even worse, the first two reset their timers (with no reward) and the latter hangs the game."
1,2023-09-13 07:11:52,"Your account has exceeded the 5 devices limit. Sent an Email, but no respond."
1,2023-09-12 19:53:18,"After update, the game will not load. All it shows is a black screen and my phone hangs. I hope the developer will fix that."
5,2023-09-12 15:25:41,I'm too engaged
5,2023-09-12 09:44:49,TOOOOO CUTE
5,2023-09-12 07:08:44,Cute
5,2023-09-12 00:05:44,Love this app so nice fun and relaxing to use and it's so cute
5,2023-09-11 16:18:27,LisabethDixon Save
5,2023-09-10 19:09:47,"Literally the cutest game I've ever played. Plus it's super relaxing, and it doesn't cram ads or microtransactions down your throat. Loving it so far!"
3,2023-09-10 16:20:53,I can't load in my backup
1,2023-09-10 08:03:16,After update it won't load
5,2023-09-09 13:16:32,Everything about this game is cute
5,2023-09-09 11:35:24,"Very cute: Penguins, sounds, graphics and penguins (again)"
5,2023-09-08 23:08:34,"I like this game a lot! But I have a suggestion not really important. Would be nice and interesting that we can put names to the penguins, or if it's too hard just the animals like the bear, or the rabbit 🐇 I'm just saying"
5,2023-09-08 10:11:35,I love penguin
5,2023-09-08 01:39:48,This is such a good game! there are so many cute penguins and other animals and there's also these ad coupons which basically means you get rewards ad free and you should check this game out!
2,2023-09-08 00:41:51,"Hello. O really like penguins, so i wanted to play this game again. I couldn't get my old account back right from 2021 because the button just won't work. I'm really disappointed."
5,2023-09-07 19:27:09,Nice relazing game
3,2023-09-07 15:43:08,"Well I was enjoying it. To complete the missions though you need ads and the ads will only play occasionally when you tap to summon the treasure ship. It's not my internet as all my other apps are playing ads. Don't get me wrong, it's not that I want ads but it's just frustrating when you can't complete the missions without them. Otherwise it's a nice relaxing game"
5,2023-09-07 11:57:02,UPDATE: Reinstalling did the trick. Upping the rating back to 10/10 stars. _______________________ 1/5 stars: Game is crashing when I open with latest update. Not sure what's going on but will attempt to uninstall/reinstall to see if that works. I cleared the cache to see if that worked but still not working. Honestly this has been my favorite game and now I can't check on my pengoos. Not cool.
5,2023-09-05 01:03:10,happy Great Job 👍 Excellent
5,2023-09-04 17:29:52,A beautiful relaxing game
5,2023-09-04 17:17:35,It is a amazingly good game
