Score,Date,Content
5,2023-11-04 18:02:20,Very beautiful app And usefull aap Thankyou so much Instagram
5,2023-11-04 09:07:28,Great
2,2023-11-04 06:40:31,She Soesan
2,2023-11-03 16:38:23,"En lugar de dejar la aplicación como están, siguen desarrollando chorradas y les está pasando como con Facebook. No hay nada más que ver que hasta han adoptado los horribles colores degradados de Facebook Messenger. Con tanta tontería, terminaremos cansándonos de la aplicación igual que pasó con Facebook."
5,2023-11-03 06:53:54,Video
5,2023-11-02 23:56:56,Good
1,2023-11-02 15:25:20,"Instagram's community guidelines are useless they restrict my ""Radhe Radhe Krishna"" this comment I don't know why and when I was reques for review then they tell me my comments promoting violence, Hay insgram tell me how my comments promoting violence, give some reason.😑"
4,2023-11-01 15:40:55,Its nice
1,2023-11-01 15:28:53,Free palestine
1,2023-11-01 15:27:40,Free Palestinee🇵🇸
1,2023-11-01 15:24:13,Fine social media
5,2023-11-01 15:23:45,Love it🤞🏾😜🖤
3,2023-11-01 15:00:39,My Instagram story sound be not a saving tell me how to save my Instagram story music sound
1,2023-11-01 14:57:09,Free phalastin ✌️✌️✌️✌️
1,2023-11-01 14:53:57,Stop blushing the facts Gaza
1,2023-11-01 14:48:42,Not supporting palastine
1,2023-11-01 14:46:55,Stop blurting the facts
1,2023-11-01 14:42:18,"Instagram really needs to stop with this ineffective spam filter. Getting annoying now. Innocent comments being flagged as spam for no reason. This spam filter is in itself behaving like spam...its a nuance and a turn off visiting Instagram now. I commented something about taking accountability, and my comment was flagged as spam!. Whose working at ig on these spam filter software? They need sacking Your ai spam filter is broken. I spoke on the blade runners, now I'm banned again. Useless app"
1,2023-11-01 14:29:53,Free plasteen 🇵🇸🇵🇸
1,2023-11-01 14:17:50,FREE PALESTINA
5,2023-11-01 13:02:17,❤️
5,2023-11-01 09:28:13,Fantastic 😍
1,2023-10-31 18:35:01,"Stories notifications have not worked for 29 months and support has ignored me for 29 months Edit: 35 months Edit: 36 months Edit: 37 months Edit 38 months Edit: still being completely ignored by the support that, lets be real, does not and has not ever existed This trash is very likely the worst working app in the entirety of the playstore Edit: 39 months Edit: 40 months Edit: 45"
5,2023-10-31 13:59:05,Na pranam insta anteee🥺
5,2023-10-31 11:47:04,Great and Good
5,2023-10-31 09:36:44,Niceee
1,2023-10-30 12:19:02,It sucks
5,2023-10-29 16:40:35,Thank you big good luck the morning
5,2023-10-29 07:03:14,Chaynika konch
5,2023-10-29 06:07:52,Nice app
5,2023-10-27 16:46:35,nice
1,2023-10-27 05:28:00,Boycotts Instagram
1,2023-10-27 04:14:32,I upload my reels but no get one like
5,2023-10-27 00:01:52,Superb app.
1,2023-10-26 23:10:18,"INow it's a poor knock off of tiktoc. Easy solution is to separate videos from images, allowing people to decide what they want to interact with. The ads are also getting obnoxious, and show up every four to five posts. The best part of the app was how it organizes images in your profile. They removed the search filters for new post, which means you can only look up popular post now. Very disappointing, and seems to force you to only look at what's popular. Search is basically broken."
5,2023-10-26 22:23:12,This application is wonderful
1,2023-10-26 08:43:36,Stop supporting genocide
5,2023-10-26 04:56:28,Nice
1,2023-10-26 03:49:22,Instagram is removing my posts and preventing me from sharing stories on my Instagram about the atrocities of Zionists against innocent civilians...it is a biased app!!!!!
1,2023-10-26 00:51:59,get eye.on.palestine back on instagram!!!!!
2,2023-10-26 00:00:19,Can u PLEASE stop showing suggested post in the HOME FEED? I expect to see my following n friend's posts in the home feed but then it keeps showing me suggested post till i can't even see my friends posts. So what's the difference tho if u show the suggested post in the home feed and search page? I alrd click the stop showing suggested posts but then it keeps showing up. Should i click the stop showing in EVERY suggested post that shows in every scroll? It's tiring bcs it's SO MANY. Please fix.
5,2023-10-25 22:02:45,I need a follow var
5,2023-10-25 05:46:39,"I can make a reels on Instagram so it can be worked, 😜"
5,2023-10-24 21:18:01,ᱚᱱᱮ ᱟᱰᱤ ᱱᱚᱣᱟ ᱤᱧ ᱨᱮᱭᱟ ᱢᱤᱰ ᱰᱤᱛᱥ ᱢᱚᱨᱰᱚᱨᱱᱤ ᱤᱱᱤᱥᱛᱟᱜᱨᱤᱢ ᱯᱦᱤᱰᱵᱭᱠ ᱶᱚᱨᱥᱚᱵ ᱤᱢᱚᱱᱤ ᱠᱟᱱ ᱜᱳᱭᱤᱱᱱᱜᱹ ᱤᱰᱰᱢᱤᱥᱤ 🕐🕐 ᱚᱱᱚᱨᱤ ᱟᱢ ᱱᱚᱢᱳᱱᱚ ᱤᱧᱮᱱᱤ ᱤᱰᱤᱢᱚᱶ ᱢᱳᱱᱛᱳᱦᱤᱱᱚᱨᱤᱛᱤ ᱯᱦᱤᱦᱤᱯ ᱥᱤᱢ ᱠᱟᱱ ᱢᱤᱱᱭᱮ ᱟᱨᱱᱤ ᱠᱟᱢᱤᱞᱟᱱᱤᱭᱳᱱᱢ ᱤᱨᱤᱱᱟ ᱱᱳᱨᱡᱟᱦᱟ ᱱᱤᱭᱟᱥᱯᱱᱥᱱᱤᱢᱟ ᱵᱦᱚᱞ ᱦᱚ ᱟᱠᱚ ᱦᱩᱡᱩᱨ ᱩᱞᱟᱤᱥᱥᱦᱩᱨ ᱥᱭᱨ ᱡᱩ ᱟᱠᱚ ᱤᱧ ᱥᱦᱢᱤᱛ ᱛᱚᱨᱟᱝ ᱨᱚᱵᱦᱚᱨ ᱚᱱᱰᱚᱢᱩᱱᱰᱤᱭᱚᱱᱤᱛᱤᱨ ᱫᱮᱡ ᱚᱱᱮ ᱥᱚ ᱚᱛᱤ ᱨᱮᱭᱟ ᱦᱩᱸ ᱚᱱᱮ 🥇🪙🥇🪙🥇🪙🥇🪙🥇🪙🥇🪙🥇ᱚᱨᱤᱱ ᱟᱨᱠ ᱤᱧ ᱟᱭ ᱱᱟᱢᱟ ᱠᱟᱛᱤᱞᱚᱢᱟᱡᱚᱭᱮᱥᱤ ᱨᱮ ᱨᱚᱢᱚᱢ ᱚᱭᱮᱛᱤᱱᱜᱚᱱᱢᱤᱱᱤᱛᱚᱨ ᱵᱤᱛᱳᱨᱤᱢᱜᱳᱭᱤᱱ ᱚᱠᱚᱨᱤᱱᱤᱭᱚᱢᱳᱱᱞᱟᱠᱤᱯᱷᱞᱮ ᱤᱡᱳᱨᱳᱜᱳᱞᱜᱮᱫᱟᱭᱮᱥ ᱥᱤᱧᱮ ᱤᱧ ᱦᱚ ᱢ ᱫᱮᱰ ᱚᱱᱤᱢ ᱢᱤᱰ ᱦᱤᱢᱟᱱ ᱛᱳᱯᱚᱭᱤᱱ ᱢᱚᱱᱭᱚᱰᱤᱢᱚᱨᱮ
5,2023-10-24 10:00:26,😘❤️😂
1,2023-10-22 00:47:30,Not fair to see what you want
3,2023-10-21 18:28:16,Help you keep in touch with your family and friends
5,2023-10-21 13:51:30,Nice
5,2023-10-21 11:03:40,Ok
1,2023-10-21 09:35:12,🫢🫢🫢🫢🫢🫢🫢
5,2023-10-21 01:54:15,I love it..🥰🤗❤️
1,2023-10-20 16:14:37,🤮
5,2023-10-20 11:27:16,Very good for you
4,2023-10-20 09:27:20,l love
5,2023-10-20 09:27:17,Most useful apps to generate audience
5,2023-10-19 21:56:55,Good
5,2023-10-19 14:43:53,Super
1,2023-10-19 14:42:09,Where is your freedom of speech ?????
1,2023-10-19 13:34:10,What nonsense 🙄 doing Instagram? Why you do such things with those who support Palestine 🇵🇸 you sick people have gone mad? Such a nonsense Instagram
5,2023-10-19 12:07:48,Glad 🙂
5,2023-10-19 11:16:35,My favroite apk.instagram
5,2023-10-19 02:28:11,Very good 👍
1,2023-10-18 11:29:06,No freedom of speech
5,2023-10-18 11:18:02,Update ahh ka matan kuuu pls update panuga en id ya
1,2023-10-17 15:54:38,Stop blurting facts in Gaza
5,2023-10-17 14:00:07,Getting old friends from it!!!
5,2023-10-16 15:50:39,Exellent app
5,2023-10-16 05:55:58,My old id is deactivated plz active my id ID- prahlad_thakor_122 Prahlad_solanki_122 2id is deactivated plz active my old id plz help.....
1,2023-10-16 04:45:36,I can't change themes and can't see
5,2023-10-15 23:23:59,Mast
4,2023-10-15 15:24:03,Memes were 🔥 at first but then became suited only for ai which has no humor whatsoever
1,2023-10-15 13:07:49,No freedom of speech
1,2023-10-15 10:40:13,After update just see ads
5,2023-10-14 18:25:37,Very good👍
4,2023-10-14 10:19:32,"Interesting. This & 1 other disease w/ my back(advanced adult scoliosis, a very painful neuropathy in both legs, was trtd for asudden hit w/ Bells Palsey-& mine didnt go away after 3 mos - over YEAR! CROOCKED FACE- just r side-its sad- but I now have bangs so that HELPED THE STARES- HAD A TWEEK ON THAT EYE SURGE- NOW I NEED ANOTHER & A JAWL TWEEK-- DO I DO THESE SURG. PROCEDURES OR JUST WAIT TO DIE? STRANGE QUESTION, I KNOW, BUT REALLY & GAI POSSIBLE A BIT DEPRESSING-!! DONT WANT TO SOUND PATHET"
5,2023-10-14 10:19:31,Instagram and I have a great day of school and I have a great day of school and I have a good day of my favorite song is the best for you and I have to be in my life ye to r By you
1,2023-10-14 10:19:12,Gasa under attack
1,2023-10-14 10:18:55,Censorship at its worst
5,2023-10-14 10:18:32,This app is just so much fun for me but it log out randomly
1,2023-10-14 10:18:31,👎🏻👎🏻👎🏻👎🏻👎🏻
1,2023-10-14 10:18:08,The worst platform to express your opinion
5,2023-10-14 10:18:04,Mr srin chetry
1,2023-10-14 10:17:51,bad very bad too bad
5,2023-10-14 10:17:13,Simone Charra poppie
4,2023-10-14 10:16:39,Awesome
5,2023-10-14 10:16:32,Nice👍👏😊😊 Nice👍👏😊👏
2,2023-10-14 10:15:53,Backwash
1,2023-10-14 10:15:48,This app hides the truth about people being killed by Israel
1,2023-10-14 10:15:35,Cuz u r terorrists trying to hide the truth about palastenian cause
1,2023-10-14 10:15:33,Why Instagram is pro-Israel and against palastine?! Is that fair? Rascistic company. Free Palestine
1,2023-10-14 10:15:10,Not so bad!!
1,2023-10-14 10:15:09,instagram is a must !
1,2023-10-14 10:14:51,Shadow banning and hidding the truth
1,2023-10-14 10:14:39,Good 😊
1,2023-10-14 10:14:38,This not useful
5,2023-10-14 10:14:20,Share button click tap
5,2023-10-14 10:14:07,I love ig
1,2023-10-14 10:14:00,اللهم نصرك الذي ةعدت
1,2023-10-14 10:13:58,Koyak israhell
1,2023-10-14 10:13:57,Unable to post anything be it posts or stories. Instagram is becoming a pathetic App day by day
5,2023-10-14 10:13:56,Plz make a option that we save reel in gallery plz
1,2023-10-14 10:13:18,عنصريين
1,2023-10-14 10:12:55,Very bad
1,2023-10-14 10:12:38,There is no freedom of speech
1,2023-10-14 10:12:09,So bad
1,2023-10-14 10:12:04,Typing in not supported Story view not supported
1,2023-10-14 10:11:59,Palastine under attack Free palastine Where is the freedom of speech !!!!
4,2023-10-14 10:11:29,Not great reels are not showing
1,2023-10-14 10:11:27,Hateee this app hatee it
3,2023-10-14 10:11:17,"Greetings, Instagram remains solid all a round but I do seem to have a bug, the ""interested"" option isn't available anymore although the ""uninterested"" is in my account, tried a different account and it works but not for my account, uninstall didn't help either. Would be delighted if support is provided. Thanks."
1,2023-10-14 10:11:14,Bad
1,2023-10-14 10:11:10,Free phalstin 🇰🇼🇰🇼🇰🇼🇰🇼🇰🇼
1,2023-10-14 10:11:07,Very bad service
5,2023-10-14 10:11:04,Nice 👍
1,2023-10-14 10:10:58,Racis
1,2023-10-14 10:10:56,سيء جدا ولا يسمح بحريه الراي
1,2023-10-14 10:10:49,It has no freedom of expression.
5,2023-10-14 10:10:14,Very beautiful aap
1,2023-10-14 10:09:53,👎🏻
1,2023-10-14 10:09:43,HORRIBLE need instagram to permit freedom of speech overall HORRIBLE app
5,2023-10-14 10:09:32,Very best and good app And very usefull app i love this app And i rate full satare🎆🎆🎆🎆🎆 And many people and my friend use and my fridend say insta is god level pro app
1,2023-10-14 10:09:28,Koyak
1,2023-10-14 10:09:26,Unfair
2,2023-10-14 10:09:21,👍🏻
3,2023-10-14 10:08:58,Currently can't even open the app due to a bug. Whats up? Hopefully an update soon.
5,2023-10-14 10:08:49,Op
5,2023-10-14 10:08:36,It is Mid-Blowing
5,2023-10-14 10:08:22,Very good
1,2023-10-14 10:08:17,It's not showcasing stories of mass killing and genocide of muslims in gaza and Sheikh jara
5,2023-10-14 10:08:08,❤️❤️
5,2023-10-14 10:07:37,",🤕"
2,2023-10-14 10:07:17,Super
1,2023-10-14 10:07:06,this apps video downloading problem
5,2023-10-14 10:07:02,Good apps
1,2023-10-14 10:06:44,🤮👎
5,2023-10-14 10:06:15,Best very nice
1,2023-10-14 10:06:14,"Interconnectivity, freedom of speech, fair market principles, non-discrimination of you and your posts, user functionalities, growth and development have all been programmed to be restricted by the Meta Network. It's time 7.888 billion ppl started reflecting that mockery of us on these reviews. Only ungadadungas would put up with such an obsolete experience and treatment. Send them a written DATA Subject Access Request while your at it, for the privacy element of this invasive app/platform."
5,2023-10-14 10:06:00,Instagram is best shocialmediya app
5,2023-10-14 10:05:27,Amsatis
1,2023-10-14 10:05:23,Very bad
1,2023-10-14 10:04:56,"It was the only social media i used.... until it became like Facebook! Recent changes and the REDICULOUS ammount of ads in EVERYTHING made it useless. Two normal posts and an ad. Check someones profile, more ads. The feed was golden but... an ad every second scroll. Check the reel... ads every second swipe. Its facebook now but more visual. Thats all. Avoid, unless you need more useles ads in your life. 4 stars to 1. 2019 -2023."
1,2023-10-14 10:04:49,Racist. Doesn't give a damn about human rights. Hides all the posts about palestine and the crimes that are happening to the Palestinians and takes down the acc of the activists
5,2023-10-14 10:04:27,Good
1,2023-10-14 10:04:07,I lost my account
1,2023-10-14 10:03:35,In my account the reels option has been removed why ??? And very poor after update
5,2023-10-14 10:03:26,Veryy amazing in love with the app
1,2023-10-14 10:03:09,Bad quality
2,2023-10-14 10:03:08,Bugstagram should the perfect name
1,2023-10-14 10:03:05,Useless
1,2023-10-14 10:03:04,Instagram is bad and deserves to be rated one star. Because it supports the violence that took place in the Al-Aqsa Mosque and the Sheikh Jarrah neighborhood by deleting everything related to the acts of violence against the worshipers and the residents of the Sheikh Jarrah neighborhood in occupied Palestine Today 14/10/2023 I am adding that the violence actions against Palestine and Gaza strip are covered by the people who are running this company and they add restrictions against humanity
1,2023-10-14 10:02:49,❤️🖤🖤🖤🖤 ❤️❤️🤍🤍🤍 ❤️💚💚💚💚
1,2023-10-14 10:02:29,تطبيق يدعم العنصرية
5,2023-10-14 10:02:21,Good
1,2023-10-14 10:01:57,Bias and spreading false information
5,2023-10-14 10:01:47,Can you give me Instagram music please. I prefer this to Story and I need this
5,2023-10-14 10:01:42,Love ❤️
5,2023-10-14 10:01:38,So expensive aap
1,2023-10-14 10:01:24,"This is it.. every supporter of Palestine, you delete his account ..while Israel's supporters do not!! . Why all this bias towards the occupation?Bad racist app ❌👎🏻👎🏻👎🏻"
1,2023-10-14 10:01:15,"An institution that is not neutral, biased, and racist, and does not support freedom of opinion, Free Palestine 🇵🇸🇵🇸🇵🇸"
1,2023-10-14 10:01:06,app supporting terrorism. free philistine
5,2023-10-14 10:01:06,Xxxtentacion
1,2023-10-14 10:00:58,"Whenever I post something regarding gaza or Palestine in general, you make my reach so low and my story unavailable for most of my followers. What happened to freedom of speech? I can't express how I feel? Or do you want us to stay silent regarding the tragedy that Israel is doing to Palestinians? You can try all you want we will not be silenced, and the truth will be out."
5,2023-10-14 10:00:19,It's nice 👍
5,2023-10-14 09:59:43,MaHesh. Rtw
5,2023-10-14 09:59:40,I like it
1,2023-10-14 09:59:39,"Instagram you are biased, you block, ban , categorize and close everyone who talks about palestine. You don't support freedom of speech and instead prefer to spread false informations."
5,2023-10-14 09:59:07,Good
1,2023-10-14 09:58:47,Bad service
5,2023-10-14 09:58:38,5 star
5,2023-10-14 09:57:57,What my Instagram band
5,2023-10-14 09:57:44,So nice in instagram very nice so love
5,2023-10-14 09:57:40,Nice app my first life instagarm
4,2023-10-14 09:57:24,"Overall love the app, dont like some of the unsolicited nonsense but can move past that. Thanks insta."
1,2023-10-14 09:57:17,Bad
5,2023-10-14 09:57:14,It's very very very very very hot
5,2023-10-14 09:57:01,Best place to show your creativity.
5,2023-10-14 09:56:23,Tgkrvn Beowulf all so so clients elected sudden Aachen bribery Jeff's rinse slack
2,2023-10-14 09:56:13,My Instagram I'd is login because of any issue please open my Instagram I'd My username= sahil_ansari018 Please help me 🙏🙏 Thank you
1,2023-10-14 09:55:53,soo bad
1,2023-10-14 09:55:28,اتظن انك قد طمست هويتي ، ومحوت تاريخي ومعتقداتي ، عبثا تحاول، لا فناء لثائر فانا كالقيامه ذات يوماً آتي 🇯🇴
1,2023-10-14 09:55:14,لان التطبيق يدعم الكيان الصهيوني
1,2023-10-14 09:55:09,Jasmain
